Company,Company Score,Job Title,Location,Date,Salary
571,1.0,294,174,8d,358
598,0.736842105263158,466,243,2d,320
230,0.5263157894736841,40,55,2d,598
481,0.3157894736842106,418,168,2d,618
575,0.10526315789473695,294,267,2d,500
495,0.5263157894736841,32,204,1d,132
278,0.5789473684210527,21,5,7d,432
583,0.21052631578947367,372,35,10d,593
393,0.6842105263157894,487,243,1d,203
464,0.6315789473684208,150,253,5d,546
248,0.4736842105263157,294,243,1d,299
258,0.6315789473684208,294,293,30d+,122
320,0.42105263157894757,294,190,2d,373
62,0.5789473684210527,433,35,2d,263
45,0.6315789473684208,127,232,6d,3
481,0.3157894736842106,412,168,2d,361
251,0.1578947368421053,294,265,2d,138
345,0.26315789473684204,100,293,2d,496
4,0.26315789473684204,294,139,1d,506
502,0.6842105263157894,294,277,10d,285
23,0.0,282,254,10d,347
521,0.5789473684210527,21,21,2d,65
87,0.6315789473684208,339,35,30d+,32
45,0.1578947368421053,74,281,5d,135
29,0.5789473684210527,349,51,2d,589
57,0.6842105263157894,448,8,6d,370
23,0.736842105263158,294,160,13d,192
598,0.3157894736842106,215,243,3d,526
465,0.26315789473684204,294,198,2d,431
269,0.42105263157894757,294,219,4d,19
150,0.21052631578947367,294,63,2d,22
153,0.6842105263157894,389,253,13d,404
314,0.5263157894736841,34,138,9d,14
416,0.6315789473684208,85,79,2d,293
268,0.26315789473684204,197,228,22d,380
246,0.7894736842105265,431,244,18d,521
486,0.6842105263157894,294,229,30d+,109
553,0.7894736842105265,21,75,2d,412
332,0.42105263157894757,272,48,17d,214
164,0.5263157894736841,134,293,10d,392
591,0.8421052631578947,346,193,4d,122
341,0.5263157894736841,294,293,2d,533
612,0.3157894736842106,294,293,30d+,338
104,0.6315789473684208,475,44,18d,400
126,0.4736842105263157,371,23,2d,403
185,0.736842105263158,471,81,2d,202
28,0.6315789473684208,421,265,3d,154
91,0.052631578947368585,282,110,4d,234
161,0.3157894736842106,294,74,2d,81
358,0.21052631578947367,437,110,1d,322
498,0.42105263157894757,294,43,3d,594
490,0.4736842105263157,142,303,1d,413
413,0.368421052631579,294,272,4d,328
249,0.368421052631579,272,201,10d,384
53,0.5789473684210527,294,291,30d+,414
607,0.4736842105263157,335,243,30d+,622
482,0.42105263157894757,356,23,2d,92
497,0.6842105263157894,308,8,10d,76
257,0.6842105263157894,159,293,10d,188
532,0.4736842105263157,422,74,8d,430
582,0.736842105263158,357,19,6d,470
92,0.736842105263158,294,12,3d,450
568,0.42105263157894757,371,182,2d,522
26,0.10526315789473695,260,146,1d,389
306,0.3157894736842106,294,73,16d,366
532,0.42105263157894757,233,74,30d+,354
456,0.4736842105263157,434,278,20d,308
296,0.6315789473684208,397,168,30d+,383
532,0.26315789473684204,348,74,30d+,550
453,0.1578947368421053,250,265,25d,17
557,0.4736842105263157,186,94,2d,213
611,0.5789473684210527,371,294,12d,501
8,0.8947368421052628,294,205,12d,162
9,0.26315789473684204,294,229,2d,222
301,0.0,463,293,8d,16
272,0.052631578947368585,145,302,23d,122
552,0.26315789473684204,23,149,30d+,615
439,0.4736842105263157,21,195,4d,56
528,0.10526315789473695,294,138,2d,178
106,1.0,294,104,30d+,435
235,0.3157894736842106,131,11,10d,91
266,0.3157894736842106,190,290,30d+,455
105,0.4736842105263157,379,141,23d,368
504,0.7894736842105265,142,104,2d,395
500,0.4736842105263157,11,245,1d,611
283,0.4736842105263157,38,229,9d,497
398,0.4736842105263157,417,293,8d,346
570,0.3157894736842106,369,293,11d,371
354,0.6842105263157894,94,293,4d,437
462,0.5263157894736841,294,293,30d+,122
117,0.5789473684210527,63,293,2d,553
284,0.21052631578947367,487,12,6d,106
383,0.4736842105263157,294,293,2d,60
446,1.0,294,97,3d,447
176,0.42105263157894757,294,293,2d,284
482,0.6315789473684208,331,23,4d,483
322,0.5789473684210527,130,74,2d,321
337,0.5789473684210527,239,64,19d,252
588,0.9473684210526319,183,243,2d,610
46,0.42105263157894757,272,236,3d,356
3,0.5263157894736841,294,50,30d+,581
501,0.3157894736842106,274,59,26d,429
270,0.5263157894736841,215,223,4d,294
427,0.1578947368421053,371,112,2d,474
488,0.368421052631579,337,175,3d,151
217,0.052631578947368585,46,35,4d,208
541,0.6315789473684208,294,300,17d,289
22,0.1578947368421053,294,287,4d,503
